Title,Address,Latitude,Longitude,Found Address,Match Quality,Source
SAINT CLOUD STATE UNIVERSITY,"720 4th Ave S, St Cloud, MN 56301, USA",45.5511864,-94.1515137,"720 4th Ave S, St Cloud, MN 56301, USA",Match,Google
MORGAN STATE UNIVERSITY,"1700 E Cold Spring Ln, Baltimore, MD 21251, USA",39.3437959,-76.5843847,"1700 E Cold Spring Ln, Baltimore, MD 21251, USA",Match,Google
MOUNT IDA COLLEGE,"777 Dedham St, Newton, MA 02459, USA",42.294262,-71.193448,"777 Dedham St, Newton, MA 02459, USA",Match,Google
UNIVERSITY OF MONTANA,"32 Campus Dr, Missoula, MT 59812, USA",46.8600672,-113.9852081,"32 Campus Dr, Missoula, MT 59812, USA",Match,Google
NAUGATUCK VALLEY COMMUNITY TECHNICAL COLLEGE,"750 Chase Pkwy, Waterbury, CT 06708, USA",41.5498286,-73.0729008,"750 Chase Pkwy, Waterbury, CT 06708, USA",Match,Google
UNIVERSITY OF MISSOURI COLUMBIA,"Columbia, MO 65211, USA",38.9403808,-92.3277375,"Columbia, MO 65211, USA",Match,Google
MARYVILLE UNIVERSITY OF ST. LOUIS,"650 Maryville University Dr, St. Louis, MO 63141, USA",38.644986,-90.504679,"650 Maryville University Dr, St. Louis, MO 63141, USA",Match,Google
MILLERSVILLE UNIVERSITY LIBRARY,"9 N George St, Millersville, PA 17551, USA",39.9981892,-76.3550635,"9 N George St, Millersville, PA 17551, USA",Match,Google
MARYLAND INSTITUTE COLLEGE OF ART,"1300 W Mt Royal Ave, Baltimore, MD 21217, USA",39.307555,-76.6216339,"1300 W Mt Royal Ave, Baltimore, MD 21217, USA",Match,Google
MASSACHUSETTS INSTITUTE OF TECHNOLOGY LIBRARIES,"160 Memorial Dr, Cambridge, MA 02142, USA",42.3590348,-71.0891378,"160 Memorial Dr, Cambridge, MA 02142, USA",Match,Google
UNIVERSITY OF NEVADA LAS VEGAS LAW LIBRARY,"4505 S Maryland Pkwy, Las Vegas, NV 89154, USA",36.1079277,-115.1399304,"4505 S Maryland Pkwy, Las Vegas, NV 89154, USA",Match,Google
NASSAU LIBRARY SYSTEM,"900 Jerusalem Ave, Uniondale, NY 11553, USA",40.695843,-73.585235,"900 Jerusalem Ave, Uniondale, NY 11553, USA",Match,Google
UNIVERSITY OF ALBANY,"1400 Washington Ave, Albany, NY 12222, USA",42.6857636,-73.8243942,"1400 Washington Ave, Albany, NY 12222, USA",Match,Google
DOANE COLLEGE LIBRARY,"1014 Boswell Ave, Crete, NE 68333, USA",40.6224954,-96.9483697,"1014 Boswell Ave, Crete, NE 68333, USA",Match,Google
UNIVERSITY OF NEBRASKA AT OMAHA,"6001 Dodge St, Omaha, NE 68182, USA",41.2582497,-96.0107049,"6001 Dodge St, Omaha, NE 68182, USA",Match,Google
NEBRASKA METHODIST COLLEGE,"720 N 87th St, Omaha, NE 68114, USA",41.265533,-96.04837,"720 N 87th St, Omaha, NE 68114, USA",Match,Google
CAMDEN COUNTY LIBRARY,"203 Laurel Rd, Voorhees Township, NJ 08043, USA",39.848129,-75.001197,"203 Laurel Rd, Voorhees Township, NJ 08043, USA",Match,Google
UNION COLLEGE,"807 Union St, Schenectady, NY 12308, USA",42.8177125,-73.9295987,"807 Union St, Schenectady, NY 12308, USA",Match,Google
NEW CANAAN LIBRARY,"151 Main St, New Canaan, CT 06840, USA",41.1456241,-73.4920934,"151 Main St, New Canaan, CT 06840, USA",Match,Google
NORTH DAKOTA STATE LIBRARY,"604 E Boulevard Ave, Bismarck, ND 58505, USA",46.8192455,-100.7813545,"604 E Boulevard Ave, Bismarck, ND 58505, USA",Match,Google
NORTHEASTERN UNIVERSITY,"360 Huntington Ave, Boston, MA 02115, USA",42.3398067,-71.0891717,"360 Huntington Ave, Boston, MA 02115, USA",Match,Google
FARGO PUBLIC LIBRARY,"2801 32nd Ave S, Fargo, ND 58103, USA",46.8332,-96.827039,"2801 32nd Ave S, Fargo, ND 58103, USA",Match,Google
JERICHO PUBLIC LIBRARY,"1 Merry Ln, Jericho, NY 11753, USA",40.793611,-73.535108,"1 Merry Ln, Jericho, NY 11753, USA",Match,Google
BRYANT LIBRARY,"2 Papermill Rd, Roslyn, NY 11576, USA",40.798217,-73.646786,"2 Papermill Rd, Roslyn, NY 11576, USA",Match,Google
UNIVERSITY OF NORTH CAROLINA GREENSBORO,"1400 Spring Garden St, Greensboro, NC 27412, USA",36.0689296,-79.8101975,"1400 Spring Garden St, Greensboro, NC 27412, USA",Match,Google
GARDNER-WEBB UNIVERSITY,"110 S Main St, Boiling Springs, NC 28017, USA",35.2475249,-81.6706979,"110 S Main St, Boiling Springs, NC 28017, USA",Match,Google
SYOSSET PUBLIC LIBRARY,"225 S Oyster Bay Rd, Syosset, NY 11791, USA",40.7987333,-73.5020748,"225 S Oyster Bay Rd, Syosset, NY 11791, USA",Match,Google
NEW HAMPSHIRE COMMUNITY-TECH COLLEGE,"646 Union St # 300, Littleton, NH 03561, USA",44.308442,-71.7482221,"646 Union St # 300, Littleton, NH 03561, USA",Match,Google
UNIVERSITY OF NEW HAMPSHIRE,"105 Main St, Durham, NH 03824, USA",43.138948,-70.9370252,"105 Main St, Durham, NH 03824, USA",Match,Google
UNIVERSITY OF NORTHERN IOWA,"1227 W 27th St, Cedar Falls, IA 50614, USA",42.5133893,-92.4620034,"1227 W 27th St, Cedar Falls, IA 50614, USA",Match,Google
NEW JERSEY DEPARTMENT OF ENVIRONMENTAL PROTECTION,"436 E State St, Trenton, NJ 08608, USA",40.2212788,-74.7561441,"436 E State St, Trenton, NJ 08608, USA",Match,Google
ROWAN UNIVERSITY,"201 Mullica Hill Rd, Glassboro, NJ 08028, USA",39.7098595,-75.1189478,"201 Mullica Hill Rd, Glassboro, NJ 08028, USA",Match,Google
UNIVERSITY OF MEDICINE AND DENTISTRY OF NEW JERSEY,"65 Bergen St, Newark, NJ 07103, USA",40.7432716,-74.1921598,"65 Bergen St, Newark, NJ 07103, USA",Match,Google
WILLIAM PATERSON COLLEGE,"Atrium, 300 Pompton Rd, Wayne, NJ 07470, USA",40.9460061,-74.1981377,"Atrium, 300 Pompton Rd, Wayne, NJ 07470, USA",Match,Google
NEW JERSEY ILL ACCESS CENTER,"347 Mt Pleasant Ave #100, West Orange, NJ 07052, USA",40.789695,-74.259107,"347 Mt Pleasant Ave #100, West Orange, NJ 07052, USA",Match,Google
